model,dataset,temperature,class,precision,recall,f1_score,accuracy
Deepseek-v2:16b,sentiment_fairness,temperature_0,Negative,0.6207,1.0,0.766,0.72
Deepseek-v2:16b,sentiment_fairness,temperature_1,Negative,0.6,1.0,0.75,0.7
Gemma3:270m,sentiment_fairness,temperature_0,Negative,0.3673,1.0,0.5373,0.38
Gemma3:270m,sentiment_fairness,temperature_1,Negative,0.3673,1.0,0.5373,0.38
QWQ:32b,sentiment_fairness,temperature_0,Negative,0.8095,0.9444,0.8718,0.9
QWQ:32b,sentiment_fairness,temperature_1,Negative,0.8095,0.9444,0.8718,0.9
Deepseek-v2:16b,sentiment_fairness,temperature_0,Neutral,1.0,0.3,0.4615,0.72
Deepseek-v2:16b,sentiment_fairness,temperature_1,Neutral,1.0,0.25,0.4,0.7
Gemma3:270m,sentiment_fairness,temperature_0,Neutral,0.0,0.0,0.0,0.38
Gemma3:270m,sentiment_fairness,temperature_1,Neutral,0.0,0.0,0.0,0.38
QWQ:32b,sentiment_fairness,temperature_0,Neutral,0.9412,0.8,0.8649,0.9
QWQ:32b,sentiment_fairness,temperature_1,Neutral,0.9412,0.8,0.8649,0.9
Deepseek-v2:16b,sentiment_fairness,temperature_0,Positive,0.8,1.0,0.8889,0.72
Deepseek-v2:16b,sentiment_fairness,temperature_1,Positive,0.8,1.0,0.8889,0.7
Gemma3:270m,sentiment_fairness,temperature_0,Positive,1.0,0.0833,0.1538,0.38
Gemma3:270m,sentiment_fairness,temperature_1,Positive,1.0,0.0833,0.1538,0.38
QWQ:32b,sentiment_fairness,temperature_0,Positive,1.0,1.0,1.0,0.9
QWQ:32b,sentiment_fairness,temperature_1,Positive,1.0,1.0,1.0,0.9
Deepseek-v2:16b,sentiment_negation,temperature_0,Negative,0.6,1.0,0.75,0.7143
Deepseek-v2:16b,sentiment_negation,temperature_1,Negative,0.6,1.0,0.75,0.7143
Gemma3:270m,sentiment_negation,temperature_0,Negative,0.3673,1.0,0.5373,0.36
Gemma3:270m,sentiment_negation,temperature_1,Negative,0.3673,1.0,0.5373,0.36
QWQ:32b,sentiment_negation,temperature_0,Negative,0.6429,1.0,0.7826,0.76
QWQ:32b,sentiment_negation,temperature_1,Negative,0.6429,1.0,0.7826,0.76
Deepseek-v2:16b,sentiment_negation,temperature_0,Neutral,0.875,0.3684,0.5185,0.7143
Deepseek-v2:16b,sentiment_negation,temperature_1,Neutral,0.875,0.3684,0.5185,0.7143
Gemma3:270m,sentiment_negation,temperature_0,Neutral,0.0,0.0,0.0,0.36
Gemma3:270m,sentiment_negation,temperature_1,Neutral,0.0,0.0,0.0,0.36
QWQ:32b,sentiment_negation,temperature_0,Neutral,0.9,0.45,0.6,0.76
QWQ:32b,sentiment_negation,temperature_1,Neutral,0.9,0.45,0.6,0.76
Deepseek-v2:16b,sentiment_negation,temperature_0,Positive,0.9091,0.8333,0.8696,0.7143
Deepseek-v2:16b,sentiment_negation,temperature_1,Positive,0.9091,0.8333,0.8696,0.7143
Gemma3:270m,sentiment_negation,temperature_0,Positive,0.0,0.0,0.0,0.36
Gemma3:270m,sentiment_negation,temperature_1,Positive,0.0,0.0,0.0,0.36
QWQ:32b,sentiment_negation,temperature_0,Positive,0.9167,0.9167,0.9167,0.76
QWQ:32b,sentiment_negation,temperature_1,Positive,0.9167,0.9167,0.9167,0.76
Deepseek-v2:16b,sentiment_ner,temperature_0,Negative,0.6207,1.0,0.766,0.72
Deepseek-v2:16b,sentiment_ner,temperature_1,Negative,0.6207,1.0,0.766,0.72
Gemma3:270m,sentiment_ner,temperature_0,Negative,0.36,1.0,0.5294,0.36
Gemma3:270m,sentiment_ner,temperature_1,Negative,0.36,1.0,0.5294,0.36
QWQ:32b,sentiment_ner,temperature_0,Negative,0.8182,1.0,0.9,0.92
QWQ:32b,sentiment_ner,temperature_1,Negative,0.8182,1.0,0.9,0.92
Deepseek-v2:16b,sentiment_ner,temperature_0,Neutral,1.0,0.3,0.4615,0.72
Deepseek-v2:16b,sentiment_ner,temperature_1,Neutral,1.0,0.3,0.4615,0.72
Gemma3:270m,sentiment_ner,temperature_0,Neutral,0.0,0.0,0.0,0.36
Gemma3:270m,sentiment_ner,temperature_1,Neutral,0.0,0.0,0.0,0.36
QWQ:32b,sentiment_ner,temperature_0,Neutral,1.0,0.8,0.8889,0.92
QWQ:32b,sentiment_ner,temperature_1,Neutral,1.0,0.8,0.8889,0.92
Deepseek-v2:16b,sentiment_ner,temperature_0,Positive,0.8,1.0,0.8889,0.72
Deepseek-v2:16b,sentiment_ner,temperature_1,Positive,0.8,1.0,0.8889,0.72
Gemma3:270m,sentiment_ner,temperature_0,Positive,0.0,0.0,0.0,0.36
Gemma3:270m,sentiment_ner,temperature_1,Positive,0.0,0.0,0.0,0.36
QWQ:32b,sentiment_ner,temperature_0,Positive,1.0,1.0,1.0,0.92
QWQ:32b,sentiment_ner,temperature_1,Positive,1.0,1.0,1.0,0.92
Deepseek-v2:16b,sentiment_robustness,temperature_0,Negative,0.6667,0.8889,0.7619,0.6939
Deepseek-v2:16b,sentiment_robustness,temperature_1,Negative,0.6667,0.8889,0.7619,0.6939
Gemma3:270m,sentiment_robustness,temperature_0,Negative,0.3696,1.0,0.5397,0.3673
Gemma3:270m,sentiment_robustness,temperature_1,Negative,0.3696,1.0,0.5397,0.3673
QWQ:32b,sentiment_robustness,temperature_0,Negative,0.7826,1.0,0.878,0.9
QWQ:32b,sentiment_robustness,temperature_1,Negative,0.7826,1.0,0.878,0.9
Deepseek-v2:16b,sentiment_robustness,temperature_0,Neutral,0.75,0.3158,0.4444,0.6939
Deepseek-v2:16b,sentiment_robustness,temperature_1,Neutral,0.75,0.3158,0.4444,0.6939
Gemma3:270m,sentiment_robustness,temperature_0,Neutral,0.0,0.0,0.0,0.3673
Gemma3:270m,sentiment_robustness,temperature_1,Neutral,0.0,0.0,0.0,0.3673
QWQ:32b,sentiment_robustness,temperature_0,Neutral,1.0,0.75,0.8571,0.9
QWQ:32b,sentiment_robustness,temperature_1,Neutral,1.0,0.75,0.8571,0.9
Deepseek-v2:16b,sentiment_robustness,temperature_0,Positive,0.7059,1.0,0.8276,0.6939
Deepseek-v2:16b,sentiment_robustness,temperature_1,Positive,0.7059,1.0,0.8276,0.6939
Gemma3:270m,sentiment_robustness,temperature_0,Positive,0.3333,0.0833,0.1333,0.3673
Gemma3:270m,sentiment_robustness,temperature_1,Positive,0.3333,0.0833,0.1333,0.3673
QWQ:32b,sentiment_robustness,temperature_0,Positive,1.0,1.0,1.0,0.9
QWQ:32b,sentiment_robustness,temperature_1,Positive,1.0,1.0,1.0,0.9
Deepseek-v2:16b,sentiment_taxonomy,temperature_0,Negative,0.6818,0.8824,0.7692,0.7143
Deepseek-v2:16b,sentiment_taxonomy,temperature_1,Negative,0.6818,0.8824,0.7692,0.7143
Gemma3:270m,sentiment_taxonomy,temperature_0,Negative,0.3913,1.0,0.5625,0.44
Gemma3:270m,sentiment_taxonomy,temperature_1,Negative,0.3913,1.0,0.5625,0.44
QWQ:32b,sentiment_taxonomy,temperature_0,Negative,0.75,1.0,0.8571,0.86
QWQ:32b,sentiment_taxonomy,temperature_1,Negative,0.75,1.0,0.8571,0.86
Deepseek-v2:16b,sentiment_taxonomy,temperature_0,Neutral,0.8889,0.4,0.5517,0.7143
Deepseek-v2:16b,sentiment_taxonomy,temperature_1,Neutral,0.8889,0.4,0.5517,0.7143
Gemma3:270m,sentiment_taxonomy,temperature_0,Neutral,0.0,0.0,0.0,0.44
Gemma3:270m,sentiment_taxonomy,temperature_1,Neutral,0.0,0.0,0.0,0.44
QWQ:32b,sentiment_taxonomy,temperature_0,Neutral,0.9333,0.7,0.8,0.86
QWQ:32b,sentiment_taxonomy,temperature_1,Neutral,0.9333,0.7,0.8,0.86
Deepseek-v2:16b,sentiment_taxonomy,temperature_0,Positive,0.6667,1.0,0.8,0.7143
Deepseek-v2:16b,sentiment_taxonomy,temperature_1,Positive,0.6667,1.0,0.8,0.7143
Gemma3:270m,sentiment_taxonomy,temperature_0,Positive,1.0,0.3333,0.5,0.44
Gemma3:270m,sentiment_taxonomy,temperature_1,Positive,1.0,0.3333,0.5,0.44
QWQ:32b,sentiment_taxonomy,temperature_0,Positive,1.0,0.9167,0.9565,0.86
QWQ:32b,sentiment_taxonomy,temperature_1,Positive,1.0,0.9167,0.9565,0.86
Deepseek-v2:16b,sentiment_temporal,temperature_0,Negative,0.7083,0.9444,0.8095,0.78
Deepseek-v2:16b,sentiment_temporal,temperature_1,Negative,0.7083,0.9444,0.8095,0.78
Gemma3:270m,sentiment_temporal,temperature_0,Negative,0.36,1.0,0.5294,0.36
Gemma3:270m,sentiment_temporal,temperature_1,Negative,0.36,1.0,0.5294,0.36
QWQ:32b,sentiment_temporal,temperature_0,Negative,0.72,1.0,0.8372,0.86
QWQ:32b,sentiment_temporal,temperature_1,Negative,0.72,1.0,0.8372,0.86
Deepseek-v2:16b,sentiment_temporal,temperature_0,Neutral,0.9091,0.5,0.6452,0.78
Deepseek-v2:16b,sentiment_temporal,temperature_1,Neutral,0.9091,0.5,0.6452,0.78
Gemma3:270m,sentiment_temporal,temperature_0,Neutral,0.0,0.0,0.0,0.36
Gemma3:270m,sentiment_temporal,temperature_1,Neutral,0.0,0.0,0.0,0.36
QWQ:32b,sentiment_temporal,temperature_0,Neutral,1.0,0.65,0.7879,0.86
QWQ:32b,sentiment_temporal,temperature_1,Neutral,1.0,0.65,0.7879,0.86
Deepseek-v2:16b,sentiment_temporal,temperature_0,Positive,0.8,1.0,0.8889,0.78
Deepseek-v2:16b,sentiment_temporal,temperature_1,Positive,0.8,1.0,0.8889,0.78
Gemma3:270m,sentiment_temporal,temperature_0,Positive,0.0,0.0,0.0,0.36
Gemma3:270m,sentiment_temporal,temperature_1,Positive,0.0,0.0,0.0,0.36
QWQ:32b,sentiment_temporal,temperature_0,Positive,1.0,1.0,1.0,0.86
QWQ:32b,sentiment_temporal,temperature_1,Positive,1.0,1.0,1.0,0.86
Deepseek-v2:16b,sentiment_vocab,temperature_0,Negative,0.6538,0.9444,0.7727,0.72
Deepseek-v2:16b,sentiment_vocab,temperature_1,Negative,0.6538,0.9444,0.7727,0.72
Gemma3:270m,sentiment_vocab,temperature_0,Negative,0.4091,1.0,0.5806,0.44
Gemma3:270m,sentiment_vocab,temperature_1,Negative,0.4091,1.0,0.5806,0.44
QWQ:32b,sentiment_vocab,temperature_0,Negative,0.6667,1.0,0.8,0.82
QWQ:32b,sentiment_vocab,temperature_1,Negative,0.6667,1.0,0.8,0.82
Deepseek-v2:16b,sentiment_vocab,temperature_0,Neutral,0.8889,0.4,0.5517,0.72
Deepseek-v2:16b,sentiment_vocab,temperature_1,Neutral,0.8889,0.4,0.5517,0.72
Gemma3:270m,sentiment_vocab,temperature_0,Neutral,0.0,0.0,0.0,0.44
Gemma3:270m,sentiment_vocab,temperature_1,Neutral,0.0,0.0,0.0,0.44
QWQ:32b,sentiment_vocab,temperature_0,Neutral,1.0,0.55,0.7097,0.82
QWQ:32b,sentiment_vocab,temperature_1,Neutral,1.0,0.55,0.7097,0.82
Deepseek-v2:16b,sentiment_vocab,temperature_0,Positive,0.7333,0.9167,0.8148,0.72
Deepseek-v2:16b,sentiment_vocab,temperature_1,Positive,0.7333,0.9167,0.8148,0.72
Gemma3:270m,sentiment_vocab,temperature_0,Positive,0.6667,0.3333,0.4444,0.44
Gemma3:270m,sentiment_vocab,temperature_1,Positive,0.6667,0.3333,0.4444,0.44
QWQ:32b,sentiment_vocab,temperature_0,Positive,1.0,1.0,1.0,0.82
QWQ:32b,sentiment_vocab,temperature_1,Positive,1.0,1.0,1.0,0.82
