Model,Dataset,Temperature,Precision,Recall,F1-Score,Accuracy
Deepseek-r1,sentiment_fairness,Temp 0,0.8932,0.88,0.8793,0.88
Deepseek-r1,sentiment_fairness,Temp 1,0.8932,0.88,0.8793,0.88
Deepseek-r1,sentiment_negation,Temp 0,0.8277,0.8,0.7966,0.8
Deepseek-r1,sentiment_negation,Temp 1,0.8277,0.8,0.7966,0.8
Deepseek-r1,sentiment_ner,Temp 0,0.9011,0.9,0.9001,0.9
Deepseek-r1,sentiment_ner,Temp 1,0.9238,0.92,0.92,0.92
Deepseek-r1,sentiment_robustness,Temp 0,0.9345,0.92,0.9196,0.92
Deepseek-r1,sentiment_robustness,Temp 1,0.9345,0.92,0.9196,0.92
Deepseek-r1,sentiment_taxonomy,Temp 0,0.8493,0.84,0.839,0.84
Deepseek-r1,sentiment_taxonomy,Temp 1,0.8493,0.84,0.839,0.84
Deepseek-r1,sentiment_temporal,Temp 0,0.8794,0.86,0.8585,0.86
Deepseek-r1,sentiment_temporal,Temp 1,0.8932,0.88,0.8793,0.88
Deepseek-r1,sentiment_vocab,Temp 0,0.8492,0.8,0.7971,0.8
Deepseek-r1,sentiment_vocab,Temp 1,0.8492,0.8,0.7971,0.8
gemma3-1b,sentiment_fairness,Temp 0,0.8967,0.88,0.8805,0.88
gemma3-1b,sentiment_fairness,Temp 1,0.8967,0.88,0.8805,0.88
gemma3-1b,sentiment_negation,Temp 0,0.8033,0.74,0.7315,0.74
gemma3-1b,sentiment_negation,Temp 1,0.7808,0.7,0.6935,0.7
gemma3-1b,sentiment_ner,Temp 0,0.9419,0.94,0.9403,0.94
gemma3-1b,sentiment_ner,Temp 1,0.8927,0.88,0.8805,0.88
gemma3-1b,sentiment_robustness,Temp 0,0.766,0.76,0.7606,0.76
gemma3-1b,sentiment_robustness,Temp 1,0.7931,0.78,0.7799,0.78
gemma3-1b,sentiment_taxonomy,Temp 0,0.9243,0.92,0.9206,0.92
gemma3-1b,sentiment_taxonomy,Temp 1,0.9079,0.9,0.9007,0.9
gemma3-1b,sentiment_temporal,Temp 0,0.8666,0.84,0.8411,0.84
gemma3-1b,sentiment_temporal,Temp 1,0.8666,0.84,0.8411,0.84
gemma3-1b,sentiment_vocab,Temp 0,0.9243,0.92,0.9206,0.92
gemma3-1b,sentiment_vocab,Temp 1,0.9243,0.92,0.9206,0.92
qwen2.5-3b,sentiment_fairness,Temp 0,0.8321,0.82,0.8225,0.82
qwen2.5-3b,sentiment_fairness,Temp 1,0.8321,0.82,0.8225,0.82
qwen2.5-3b,sentiment_negation,Temp 0,0.81,0.78,0.7686,0.78
qwen2.5-3b,sentiment_negation,Temp 1,0.81,0.78,0.7686,0.78
qwen2.5-3b,sentiment_ner,Temp 0,0.7747,0.74,0.7426,0.74
qwen2.5-3b,sentiment_ner,Temp 1,0.7747,0.74,0.7426,0.74
qwen2.5-3b,sentiment_robustness,Temp 0,0.8129,0.8,0.8009,0.8
qwen2.5-3b,sentiment_robustness,Temp 1,0.8129,0.8,0.8009,0.8
qwen2.5-3b,sentiment_taxonomy,Temp 0,0.8415,0.84,0.8403,0.84
qwen2.5-3b,sentiment_taxonomy,Temp 1,0.8415,0.84,0.8403,0.84
qwen2.5-3b,sentiment_temporal,Temp 0,0.8091,0.76,0.7605,0.76
qwen2.5-3b,sentiment_temporal,Temp 1,0.8091,0.76,0.7605,0.76
qwen2.5-3b,sentiment_vocab,Temp 0,0.8652,0.86,0.8594,0.86
qwen2.5-3b,sentiment_vocab,Temp 1,0.8652,0.86,0.8594,0.86