Model,Dataset,Temperature,Class,Precision,Recall,F1-Score,Accuracy,Support (จำนวนข้อ)
Deepseek-r1,sentiment_fairness,Temp 0,Negative,0.7727,0.9444,0.85,0.88,18
Deepseek-r1,sentiment_fairness,Temp 1,Negative,0.7727,0.9444,0.85,0.88,18
Deepseek-r1,sentiment_fairness,Temp 0,Neutral,0.9375,0.75,0.8333,0.88,20
Deepseek-r1,sentiment_fairness,Temp 1,Neutral,0.9375,0.75,0.8333,0.88,20
Deepseek-r1,sentiment_fairness,Temp 0,Positive,1,1,1,0.88,12
Deepseek-r1,sentiment_fairness,Temp 1,Positive,1,1,1,0.88,12
Deepseek-r1,sentiment_negation,Temp 0,Negative,0.68,0.9444,0.7907,0.8,18
Deepseek-r1,sentiment_negation,Temp 1,Negative,0.68,0.9444,0.7907,0.8,18
Deepseek-r1,sentiment_negation,Temp 0,Neutral,0.8571,0.6,0.7059,0.8,20
Deepseek-r1,sentiment_negation,Temp 1,Neutral,0.8571,0.6,0.7059,0.8,20
Deepseek-r1,sentiment_negation,Temp 0,Positive,1,0.9167,0.9565,0.8,12
Deepseek-r1,sentiment_negation,Temp 1,Positive,1,0.9167,0.9565,0.8,12
Deepseek-r1,sentiment_ner,Temp 0,Negative,0.8421,0.8889,0.8649,0.9,18
Deepseek-r1,sentiment_ner,Temp 1,Negative,0.85,0.9444,0.8947,0.92,18
Deepseek-r1,sentiment_ner,Temp 0,Neutral,0.8947,0.85,0.8718,0.9,20
Deepseek-r1,sentiment_ner,Temp 1,Neutral,0.9444,0.85,0.8947,0.92,20
Deepseek-r1,sentiment_ner,Temp 0,Positive,1,1,1,0.9,12
Deepseek-r1,sentiment_ner,Temp 1,Positive,1,1,1,0.92,12
Deepseek-r1,sentiment_robustness,Temp 0,Negative,0.8182,1,0.9,0.92,18
Deepseek-r1,sentiment_robustness,Temp 1,Negative,0.8182,1,0.9,0.92,18
Deepseek-r1,sentiment_robustness,Temp 0,Neutral,1,0.8,0.8889,0.92,20
Deepseek-r1,sentiment_robustness,Temp 1,Neutral,1,0.8,0.8889,0.92,20
Deepseek-r1,sentiment_robustness,Temp 0,Positive,1,1,1,0.92,12
Deepseek-r1,sentiment_robustness,Temp 1,Positive,1,1,1,0.92,12
Deepseek-r1,sentiment_taxonomy,Temp 0,Negative,0.7727,0.9444,0.85,0.84,18
Deepseek-r1,sentiment_taxonomy,Temp 1,Negative,0.7727,0.9444,0.85,0.84,18
Deepseek-r1,sentiment_taxonomy,Temp 0,Neutral,0.8824,0.75,0.8108,0.84,20
Deepseek-r1,sentiment_taxonomy,Temp 1,Neutral,0.8824,0.75,0.8108,0.84,20
Deepseek-r1,sentiment_taxonomy,Temp 0,Positive,0.9091,0.8333,0.8696,0.84,12
Deepseek-r1,sentiment_taxonomy,Temp 1,Positive,0.9091,0.8333,0.8696,0.84,12
Deepseek-r1,sentiment_temporal,Temp 0,Negative,0.7391,0.9444,0.8293,0.86,18
Deepseek-r1,sentiment_temporal,Temp 1,Negative,0.7727,0.9444,0.85,0.88,18
Deepseek-r1,sentiment_temporal,Temp 0,Neutral,0.9333,0.7,0.8,0.86,20
Deepseek-r1,sentiment_temporal,Temp 1,Neutral,0.9375,0.75,0.8333,0.88,20
Deepseek-r1,sentiment_temporal,Temp 0,Positive,1,1,1,0.86,12
Deepseek-r1,sentiment_temporal,Temp 1,Positive,1,1,1,0.88,12
Deepseek-r1,sentiment_vocab,Temp 0,Negative,0.6667,1,0.8,0.8,18
Deepseek-r1,sentiment_vocab,Temp 1,Negative,0.6667,1,0.8,0.8,18
Deepseek-r1,sentiment_vocab,Temp 0,Neutral,0.9231,0.6,0.7273,0.8,20
Deepseek-r1,sentiment_vocab,Temp 1,Neutral,0.9231,0.6,0.7273,0.8,20
Deepseek-r1,sentiment_vocab,Temp 0,Positive,1,0.8333,0.9091,0.8,12
Deepseek-r1,sentiment_vocab,Temp 1,Positive,1,0.8333,0.9091,0.8,12
gemma3-1b,sentiment_fairness,Temp 0,Negative,1,0.7778,0.875,0.88,18
gemma3-1b,sentiment_fairness,Temp 1,Negative,1,0.7778,0.875,0.88,18
gemma3-1b,sentiment_fairness,Temp 0,Neutral,0.7917,0.95,0.8636,0.88,20
gemma3-1b,sentiment_fairness,Temp 1,Neutral,0.7917,0.95,0.8636,0.88,20
gemma3-1b,sentiment_fairness,Temp 0,Positive,0.9167,0.9167,0.9167,0.88,12
gemma3-1b,sentiment_fairness,Temp 1,Positive,0.9167,0.9167,0.9167,0.88,12
gemma3-1b,sentiment_negation,Temp 0,Negative,0.875,0.7778,0.8235,0.74,18
gemma3-1b,sentiment_negation,Temp 1,Negative,0.8571,0.6667,0.75,0.7,18
gemma3-1b,sentiment_negation,Temp 0,Neutral,0.6207,0.9,0.7347,0.74,20
gemma3-1b,sentiment_negation,Temp 1,Neutral,0.5806,0.9,0.7059,0.7,20
gemma3-1b,sentiment_negation,Temp 0,Positive,1,0.4167,0.5882,0.74,12
gemma3-1b,sentiment_negation,Temp 1,Positive,1,0.4167,0.5882,0.7,12
gemma3-1b,sentiment_ner,Temp 0,Negative,0.9444,0.9444,0.9444,0.94,18
gemma3-1b,sentiment_ner,Temp 1,Negative,0.9333,0.7778,0.8485,0.88,18
gemma3-1b,sentiment_ner,Temp 0,Neutral,0.9048,0.95,0.9268,0.94,20
gemma3-1b,sentiment_ner,Temp 1,Neutral,0.7917,0.95,0.8636,0.88,20
gemma3-1b,sentiment_ner,Temp 0,Positive,1,0.9167,0.9565,0.94,12
gemma3-1b,sentiment_ner,Temp 1,Positive,1,0.9167,0.9565,0.88,12
gemma3-1b,sentiment_robustness,Temp 0,Negative,0.75,0.8333,0.7895,0.76,18
gemma3-1b,sentiment_robustness,Temp 1,Negative,0.8235,0.7778,0.8,0.78,18
gemma3-1b,sentiment_robustness,Temp 0,Neutral,0.7,0.7,0.7,0.76,20
gemma3-1b,sentiment_robustness,Temp 1,Neutral,0.7083,0.85,0.7727,0.78,20
gemma3-1b,sentiment_robustness,Temp 0,Positive,0.9,0.75,0.8182,0.76,12
gemma3-1b,sentiment_robustness,Temp 1,Positive,0.8889,0.6667,0.7619,0.78,12
gemma3-1b,sentiment_taxonomy,Temp 0,Negative,0.9412,0.8889,0.9143,0.92,18
gemma3-1b,sentiment_taxonomy,Temp 1,Negative,0.9375,0.8333,0.8824,0.9,18
gemma3-1b,sentiment_taxonomy,Temp 0,Neutral,0.8636,0.95,0.9048,0.92,20
gemma3-1b,sentiment_taxonomy,Temp 1,Neutral,0.8261,0.95,0.8837,0.9,20
gemma3-1b,sentiment_taxonomy,Temp 0,Positive,1,0.9167,0.9565,0.92,12
gemma3-1b,sentiment_taxonomy,Temp 1,Positive,1,0.9167,0.9565,0.9,12
gemma3-1b,sentiment_temporal,Temp 0,Negative,0.9286,0.7222,0.8125,0.84,18
gemma3-1b,sentiment_temporal,Temp 1,Negative,0.9286,0.7222,0.8125,0.84,18
gemma3-1b,sentiment_temporal,Temp 0,Neutral,0.7308,0.95,0.8261,0.84,20
gemma3-1b,sentiment_temporal,Temp 1,Neutral,0.7308,0.95,0.8261,0.84,20
gemma3-1b,sentiment_temporal,Temp 0,Positive,1,0.8333,0.9091,0.84,12
gemma3-1b,sentiment_temporal,Temp 1,Positive,1,0.8333,0.9091,0.84,12
gemma3-1b,sentiment_vocab,Temp 0,Negative,0.9412,0.8889,0.9143,0.92,18
gemma3-1b,sentiment_vocab,Temp 1,Negative,0.9412,0.8889,0.9143,0.92,18
gemma3-1b,sentiment_vocab,Temp 0,Neutral,0.8636,0.95,0.9048,0.92,20
gemma3-1b,sentiment_vocab,Temp 1,Neutral,0.8636,0.95,0.9048,0.92,20
gemma3-1b,sentiment_vocab,Temp 0,Positive,1,0.9167,0.9565,0.92,12
gemma3-1b,sentiment_vocab,Temp 1,Positive,1,0.9167,0.9565,0.92,12
qwen2.5-3b,sentiment_fairness,Temp 0,Negative,0.8235,0.7778,0.8,0.82,18
qwen2.5-3b,sentiment_fairness,Temp 1,Negative,0.8235,0.7778,0.8,0.82,18
qwen2.5-3b,sentiment_fairness,Temp 0,Neutral,0.7391,0.85,0.7907,0.82,20
qwen2.5-3b,sentiment_fairness,Temp 1,Neutral,0.7391,0.85,0.7907,0.82,20
qwen2.5-3b,sentiment_fairness,Temp 0,Positive,1,0.8333,0.9091,0.82,12
qwen2.5-3b,sentiment_fairness,Temp 1,Positive,1,0.8333,0.9091,0.82,12
qwen2.5-3b,sentiment_negation,Temp 0,Negative,0.75,1,0.8571,0.78,18
qwen2.5-3b,sentiment_negation,Temp 1,Negative,0.75,1,0.8571,0.78,18
qwen2.5-3b,sentiment_negation,Temp 0,Neutral,0.75,0.75,0.75,0.78,20
qwen2.5-3b,sentiment_negation,Temp 1,Neutral,0.75,0.75,0.75,0.78,20
qwen2.5-3b,sentiment_negation,Temp 0,Positive,1,0.5,0.6667,0.78,12
qwen2.5-3b,sentiment_negation,Temp 1,Positive,1,0.5,0.6667,0.78,12
qwen2.5-3b,sentiment_ner,Temp 0,Negative,0.7857,0.6111,0.6875,0.74,18
qwen2.5-3b,sentiment_ner,Temp 1,Negative,0.7857,0.6111,0.6875,0.74,18
qwen2.5-3b,sentiment_ner,Temp 0,Neutral,0.6296,0.85,0.7234,0.74,20
qwen2.5-3b,sentiment_ner,Temp 1,Neutral,0.6296,0.85,0.7234,0.74,20
qwen2.5-3b,sentiment_ner,Temp 0,Positive,1,0.75,0.8571,0.74,12
qwen2.5-3b,sentiment_ner,Temp 1,Positive,1,0.75,0.8571,0.74,12
qwen2.5-3b,sentiment_robustness,Temp 0,Negative,0.7273,0.8889,0.8,0.8,18
qwen2.5-3b,sentiment_robustness,Temp 1,Negative,0.7273,0.8889,0.8,0.8,18
qwen2.5-3b,sentiment_robustness,Temp 0,Neutral,0.7778,0.7,0.7368,0.8,20
qwen2.5-3b,sentiment_robustness,Temp 1,Neutral,0.7778,0.7,0.7368,0.8,20
qwen2.5-3b,sentiment_robustness,Temp 0,Positive,1,0.8333,0.9091,0.8,12
qwen2.5-3b,sentiment_robustness,Temp 1,Positive,1,0.8333,0.9091,0.8,12
qwen2.5-3b,sentiment_temporal,Temp 0,Negative,0.8667,0.7222,0.7879,0.76,18
qwen2.5-3b,sentiment_temporal,Temp 1,Negative,0.8667,0.7222,0.7879,0.76,18
qwen2.5-3b,sentiment_temporal,Temp 0,Neutral,0.6429,0.9,0.75,0.76,20
qwen2.5-3b,sentiment_temporal,Temp 1,Neutral,0.6429,0.9,0.75,0.76,20
qwen2.5-3b,sentiment_temporal,Temp 0,Positive,1,0.5833,0.7368,0.76,12
qwen2.5-3b,sentiment_temporal,Temp 1,Positive,1,0.5833,0.7368,0.76,12
qwen2.5-3b,sentiment_vocab,Temp 0,Negative,0.8095,0.9444,0.8718,0.86,18
qwen2.5-3b,sentiment_vocab,Temp 1,Negative,0.8095,0.9444,0.8718,0.86,18
qwen2.5-3b,sentiment_vocab,Temp 0,Neutral,0.8889,0.8,0.8421,0.86,20
qwen2.5-3b,sentiment_vocab,Temp 1,Neutral,0.8889,0.8,0.8421,0.86,20
qwen2.5-3b,sentiment_vocab,Temp 0,Positive,0.9091,0.8333,0.8696,0.86,12
qwen2.5-3b,sentiment_vocab,Temp 1,Positive,0.9091,0.8333,0.8696,0.86,12
qwen2.5-3b,sentiment_taxonomy,Temp 0,Negative,0.8824,0.8333,0.8571,0.84,18
qwen2.5-3b,sentiment_taxonomy,Temp 1,Negative,0.8824,0.8333,0.8571,0.84,18
qwen2.5-3b,sentiment_taxonomy,Temp 0,Neutral,0.8095,0.85,0.8293,0.84,20
qwen2.5-3b,sentiment_taxonomy,Temp 1,Neutral,0.8095,0.85,0.8293,0.84,20
qwen2.5-3b,sentiment_taxonomy,Temp 0,Positive,0.8333,0.8333,0.8333,0.84,12
qwen2.5-3b,sentiment_taxonomy,Temp 1,Positive,0.8333,0.8333,0.8333,0.84,12